building,feature_set,mode,use_static,strict_cold_start,seed,n_dynamic_features,n_static_features,n_train_seq,n_val_seq,n_test_seq,status,rmse,mae,r2,wape_pct,wape_24h,wape_72h,wape_168h,wape_336h,scope,n_train_seq_pooled,n_val_seq_pooled,n_test_seq_pooled,baseline_model,baseline_rmse,baseline_mae,baseline_r2,baseline_wape_pct
U03,setA,M0,False,False,62,8,0,11158,2066,8206,ok,10.724313254255055,6.896991729736328,0.9611496329307556,14.1188383102417,9.17458724975586,8.637137413024902,7.4200239181518555,8.656773567199707,single,,,,ARX_ES,7.373,4.693,0.9808,7.026
U03,setA,M0,False,False,72,8,0,11158,2066,8206,ok,10.330794689117164,6.27061128616333,0.9639484882354736,12.83657455444336,7.502218246459961,6.6569929122924805,5.7671895027160645,6.828560829162598,single,,,,ARX_ES,7.373,4.693,0.9808,7.026
U03,setA,M0,False,False,82,8,0,11158,2066,8206,ok,12.609391336536815,8.393491744995117,0.9462913274765015,17.182323455810547,10.9466552734375,12.755629539489746,11.130599975585938,12.022384643554688,single,,,,ARX_ES,7.373,4.693,0.9808,7.026
U03B,setA,M0,False,False,42,8,0,9923,2066,8206,ok,4.58563262601907,2.6096794605255127,0.9276736378669739,16.859970092773438,7.274022579193115,7.678212642669678,13.339882850646973,12.255546569824219,single,,,,ARX_ES,3.607,1.866,0.9529,8.812
U03B,setA,M0,False,False,52,8,0,9923,2066,8206,ok,4.657525828643618,2.6954948902130127,0.9253880381584167,17.414384841918945,7.474349021911621,8.282629013061523,13.105193138122559,13.163477897644043,single,,,,ARX_ES,3.607,1.866,0.9529,8.812
U03B,setA,M0,False,False,62,8,0,9923,2066,8206,ok,4.501186638248157,2.531614303588867,0.9303129315376282,16.355627059936523,7.5167317390441895,7.158895492553711,12.087089538574219,12.298469543457031,single,,,,ARX_ES,3.607,1.866,0.9529,8.812
U03B,setA,M0,False,False,72,8,0,9923,2066,8206,ok,4.662363838887106,2.573230028152466,0.9252329468727112,16.624486923217773,5.077836990356445,6.236358642578125,11.70225715637207,12.023320198059082,single,,,,ARX_ES,3.607,1.866,0.9529,8.812
U03B,setA,M0,False,False,82,8,0,9923,2066,8206,ok,4.362242927737485,2.3730013370513916,0.9345487952232361,15.330899238586426,5.589996337890625,7.798189640045166,12.531009674072266,11.791783332824707,single,,,,ARX_ES,3.607,1.866,0.9529,8.812
U04,setA,M0,False,False,42,8,0,14317,2066,8206,ok,10.299451676375028,6.565413951873779,0.9931566715240479,5.86496639251709,4.175795078277588,4.043374061584473,3.1368565559387207,3.2412445545196533,single,,,,Persistence_1h,8.31,4.029,0.9957,2.652
U04,setA,M0,False,False,52,8,0,14317,2066,8206,ok,14.136495318074056,9.554404258728027,0.9871079325675964,8.53506851196289,7.0092997550964355,6.620392799377441,5.314871788024902,4.882696628570557,single,,,,Persistence_1h,8.31,4.029,0.9957,2.652
