building,feature_set,mode,target_variant,use_static,strict_cold_start,seed,n_dynamic_features,n_static_features,n_train_seq,n_val_seq,n_test_seq,status,rmse,mae,r2,wape_pct,wape_24h,wape_72h,wape_168h,wape_336h,scope,n_train_seq_pooled,n_val_seq_pooled,n_test_seq_pooled
U05B,setA,M1,heat_kwh,False,False,82,9,0,9993,2066,8206,ok,1.593535539746044,0.8855686783790588,0.9556148648262024,14.872244834899902,19.47000312805176,10.59467887878418,7.9560866355896,7.636618137359619,single,,,
U06,setA,M1,heat_kwh,False,False,42,9,0,13297,2066,8206,ok,8.83865047665848,5.307863712310791,0.9765151143074036,9.036211967468262,10.033646583557127,11.129878997802734,8.880280494689941,9.081089973449709,single,,,
U06,setA,M1,heat_kwh,False,False,52,9,0,13297,2066,8206,ok,9.634195666232545,5.67526388168335,0.9720972180366516,9.661680221557615,13.588874816894531,13.278575897216797,10.041558265686035,9.60751247406006,single,,,
U06,setA,M1,heat_kwh,False,False,62,9,0,13297,2066,8206,ok,9.148989979181318,5.514888286590576,0.9748370051383972,9.388653755187988,11.80226993560791,11.82602882385254,9.458800315856934,9.459650039672852,single,,,
U06,setA,M1,heat_kwh,False,False,72,9,0,13297,2066,8206,ok,8.939182363238944,5.223787784576416,0.9759778380393982,8.893078804016113,11.12881851196289,11.746698379516602,9.336852073669434,9.413423538208008,single,,,
U06,setA,M1,heat_kwh,False,False,82,9,0,13297,2066,8206,ok,9.53407080761155,5.5063629150390625,0.9726741909980774,9.374140739440918,10.036147117614746,11.018065452575684,8.93699836730957,8.833404541015625,single,,,
U06A,setA,M1,heat_kwh,False,False,42,9,0,13297,2066,8206,ok,2.906466076109389,1.6327996253967283,0.9432501792907716,18.420087814331055,10.122833251953123,10.619583129882812,9.24380588531494,9.038152694702148,single,,,
U06A,setA,M1,heat_kwh,False,False,52,9,0,13297,2066,8206,ok,2.9191918114281528,1.6276031732559204,0.9427521228790284,18.36146545410156,12.00364112854004,13.637505531311035,11.900230407714844,11.144837379455566,single,,,
U06A,setA,M1,heat_kwh,False,False,62,9,0,13297,2066,8206,ok,2.6168629003754806,1.5244871377944946,0.953995943069458,17.198183059692383,8.789276123046875,10.042405128479004,9.133096694946287,8.975007057189941,single,,,
U06A,setA,M1,heat_kwh,False,False,72,9,0,13297,2066,8206,ok,2.8827446823620235,1.59240984916687,0.944172739982605,17.964439392089844,10.61741542816162,11.437338829040527,10.284590721130373,9.779053688049316,single,,,
U06A,setA,M1,heat_kwh,False,False,82,9,0,13297,2066,8206,ok,2.7363460738950045,1.5474941730499268,0.9496990442276,17.457733154296875,10.271299362182615,11.317235946655272,9.95786952972412,9.497356414794922,single,,,
GEO,setA,M2,heat_kwh,False,False,42,14,0,11088,2066,8213,ok,77.23535017339049,13.577747344970703,0.0715833306312561,72.2787857055664,32.469444274902344,42.100975036621094,36.95941162109375,31.60323715209961,single,,,
GEO,setA,M2,heat_kwh,False,False,52,14,0,11088,2066,8213,ok,76.83364932091115,13.631333351135254,0.08121562004089355,72.56404113769531,33.598243713378906,46.488525390625,37.89802551269531,32.98590850830078,single,,,
GEO,setA,M2,heat_kwh,False,False,62,14,0,11088,2066,8213,ok,76.26445175547059,13.647883415222168,0.09477829933166504,72.65214538574219,31.38653564453125,48.6627311706543,39.08262252807617,34.291114807128906,single,,,
GEO,setA,M2,heat_kwh,False,False,72,14,0,11088,2066,8213,ok,77.41969756019782,13.878510475158691,0.06714606285095215,73.87984466552734,28.98952865600586,43.287052154541016,39.33086395263672,34.5923957824707,single,,,
GEO,setA,M2,heat_kwh,False,False,82,14,0,11088,2066,8213,ok,76.60025854639787,13.464837074279785,0.08678895235061646,71.67772674560547,28.609172821044922,42.82762145996094,37.69162368774414,32.29384231567383,single,,,
