scope,building,M0,M1,M2,M3,M4,delta_wape_M1_minus_M0,delta_wape_M2_minus_M0,delta_wape_M3_minus_M0,delta_wape_M4_minus_M0,delta_wape_M4_minus_M3,vent_class,energy_class,stat_train_ac24,stat_train_night_day_ratio,stat_n_vent_points
single,U04B,14.102200698852538,14.674110412597656,14.83790626525879,16.117474937438963,15.145655632019043,0.5719097137451179,0.7357055664062511,2.015274238586425,1.0434549331665046,-0.9718193054199205,basic,,0.9483289960701584,0.607071864599682,1
single,U05,21.228382873535157,20.605873107910156,19.5679443359375,20.12857551574707,20.52318420410156,-0.6225097656250007,-1.6604385375976562,-1.0998073577880874,-0.7051986694335959,0.3946086883544915,basic,E,0.8950156575219002,0.4576176629220508,2
single,U05B,15.746319198608399,16.199704933166505,16.65219650268555,16.10968952178955,16.473247718811034,0.4533857345581058,0.9058773040771495,0.3633703231811527,0.7269285202026357,0.36355819702148295,basic,,0.7920034450223385,0.607071864599682,1
single,U06,9.466553497314454,9.468760108947754,9.944073295593261,10.077873420715331,9.986167907714844,0.0022066116332997154,0.47751979827880753,0.6113199234008775,0.5196144104003899,-0.09170551300048757,basic,D,0.8971082948235921,0.6986180109266872,1
single,U06A,17.42130470275879,18.002802276611327,20.762843322753906,20.424331665039062,20.25063591003418,0.5814975738525376,3.3415386199951165,3.0030269622802734,2.8293312072753913,-0.1736957550048821,basic,D,0.9158647996415712,0.5968882330253605,1
global,GEO,65.60897979736328,65.51517944335937,65.75391387939453,66.0283935546875,66.20825805664063,-0.09380035400390341,0.14493408203125568,0.4194137573242216,0.5992782592773551,0.17986450195313353,basic,,0.774991428239609,0.4522404195582838,1
global,ICO,7.183379173278809,7.777624130249023,8.625516319274903,8.816572380065917,8.770941734313965,0.5942449569702148,1.442137145996094,1.6331932067871087,1.5875625610351562,-0.045630645751952414,basic,,0.9282458910996794,0.607071864599682,1
global,LIB,7.802754306793213,8.04620189666748,8.41094217300415,8.178701591491699,8.396368217468261,0.2434475898742665,0.6081878662109368,0.37594728469848526,0.5936139106750478,0.2176666259765625,basic,,0.8962645236050432,0.63767646178126,1
global,SOC,8.410611343383788,8.667487144470215,9.401519775390625,9.073144340515137,9.091939163208007,0.2568758010864265,0.9909084320068366,0.6625329971313487,0.6813278198242188,0.018794822692870028,basic,,0.8351349538290433,0.4299948240987191,2
global,U01,6.520015525817871,6.741325187683105,13.443320655822754,14.63291072845459,15.787702369689942,0.22130966186523438,6.923305130004883,8.112895202636718,9.26768684387207,1.1547916412353523,none,,0.9512489021239778,0.7731242218088237,0
global,U02,17.35281639099121,17.508459854125977,18.155348205566405,17.81394271850586,18.110798263549803,0.15564346313476562,0.8025318145751932,0.46112632751464844,0.7579818725585916,0.2968555450439432,rich,,0.7874149640736751,0.2419303436359815,3
global,U02B,13.967099380493163,14.105582427978515,14.760799598693847,14.995502281188966,15.546349716186523,0.13848304748535156,0.7937002182006836,1.0284029006958022,1.5792503356933594,0.5508474349975572,basic,,0.8853621904175788,0.4790361781950632,1
global,U03,6.768124198913574,7.017036628723145,8.062372970581055,7.700177955627441,8.08888511657715,0.24891242980957085,1.2942487716674815,0.9320537567138674,1.3207609176635753,0.3887071609497079,rich,,0.9293990029644474,0.6172554961740034,4
global,U03B,9.881033515930175,10.195512962341308,11.22173614501953,10.857889747619629,10.539464569091797,0.31447944641113246,1.3407026290893551,0.9768562316894531,0.6584310531616211,-0.31842517852783203,basic,,0.8512919677312892,0.7037081721948298,1
global,U04,5.351720237731934,6.076912212371826,8.514249420166015,7.845744228363037,8.222138977050781,0.725191974639892,3.1625291824340813,2.494023990631103,2.870418739318847,0.37639474868774414,rich,,0.9011341205345696,0.9185789212837258,4
global,U04B,9.7043701171875,10.153298568725585,10.597248840332032,9.88604965209961,9.805607223510743,0.4489284515380856,0.8928787231445323,0.18167953491211009,0.1012371063232429,-0.08044242858886719,basic,,0.9483289960701584,0.607071864599682,1
global,U05,11.339750480651855,11.719966888427734,12.547470474243164,12.383599853515625,12.955834579467773,0.3802164077758796,1.2077199935913097,1.0438493728637699,1.616084098815918,0.5722347259521481,basic,E,0.8950156575219002,0.4576176629220508,2
global,U05B,10.386338996887208,10.642107391357422,11.157399559020996,10.697761344909669,10.782774543762207,0.2557683944702145,0.7710605621337887,0.31142234802246094,0.39643554687499893,0.085013198852538,basic,,0.7920034450223385,0.607071864599682,1
global,U06,6.91057243347168,7.137839603424072,7.617603492736817,7.206903743743896,6.9972552299499515,0.22726716995239205,0.7070310592651365,0.29633131027221626,0.08668279647827148,-0.20964851379394478,basic,D,0.8971082948235921,0.6986180109266872,1
global,U06A,12.50029354095459,12.68804054260254,13.967248344421387,14.060952377319335,13.826126098632812,0.18774700164794922,1.4669548034667965,1.5606588363647447,1.325832557678222,-0.23482627868652273,basic,D,0.9158647996415712,0.5968882330253605,1
