Building,Horizon_h,target_col,Model,Status,n,MAE,RMSE,WAPE_pct,sMAPE_pct,MAPE_g_pct,R2,ResidAC1,ResidStd,MAE_peak,RMSE_peak,n_peak
U02B,1,target_point_h1,ARMAX_ES,ok,6168,1.885,3.228,14.217,42.217,22.187,0.9085,-0.0144,3.215,2.519,3.944,1145
U03,1,target_point_h1,Persistence_1h,ok,6168,4.024,7.406,6.025,13.131,11.11,0.9807,0.0213,7.406,4.709,7.903,940
U03,1,target_point_h1,Persistence_week,ok,6168,24.005,33.308,35.94,66.886,85.049,0.6091,0.9662,33.305,32.159,41.537,940
U03,1,target_point_h1,Static_ES,ok,6168,22.75,30.021,34.061,63.38,132.125,0.6825,0.9631,29.921,36.604,42.486,940
U03,1,target_point_h1,ARX_ES,ok,6168,4.693,7.373,7.026,40.768,16.841,0.9808,0.093,7.364,5.581,8.439,940
U03,1,target_point_h1,ARMAX_ES,ok,6168,4.17,7.564,6.243,34.612,11.997,0.9798,-0.0177,7.554,4.878,7.994,940
U03B,1,target_point_h1,Persistence_1h,ok,6168,1.66,3.629,7.837,14.144,11.544,0.9523,0.0362,3.629,3.498,6.81,313
U03B,1,target_point_h1,Persistence_week,ok,6168,9.131,13.422,43.112,66.104,57.043,0.3481,0.953,13.419,24.682,29.579,313
U03B,1,target_point_h1,Static_ES,ok,6168,8.657,11.37,40.875,67.207,52.655,0.5322,0.9409,11.131,22.479,23.952,313
U03B,1,target_point_h1,ARX_ES,ok,6168,1.866,3.607,8.812,44.145,12.025,0.9529,-0.1674,3.602,3.658,6.771,313
U03B,1,target_point_h1,ARMAX_ES,ok,6168,1.783,3.7,8.417,37.186,12.294,0.9505,-0.1806,3.688,3.66,6.912,313
U04,1,target_point_h1,Persistence_1h,ok,6168,4.029,8.31,2.652,7.335,6.091,0.9957,0.2326,8.309,12.077,18.167,197
U04,1,target_point_h1,Persistence_week,ok,6168,60.966,97.751,40.133,57.87,77.788,0.3982,0.9925,97.609,266.496,287.997,197
U04,1,target_point_h1,Static_ES,ok,6168,84.839,98.41,55.848,62.604,209.404,0.39,0.9847,69.671,191.04,194.767,197
U04,1,target_point_h1,ARX_ES,ok,6168,5.352,8.447,3.523,26.128,11.325,0.9955,0.0616,8.001,12.405,18.267,197
U04,1,target_point_h1,ARMAX_ES,ok,6168,4.411,10.432,2.904,23.88,7.804,0.9931,0.1702,10.431,14.422,39.416,197
U04B,1,target_point_h1,Persistence_1h,ok,6168,0.659,1.552,7.295,7.99,11.525,0.9743,-0.0491,1.552,0.894,2.328,432
U04B,1,target_point_h1,Persistence_week,ok,6168,5.048,8.106,55.91,62.52,71.181,0.3,0.9714,8.089,9.842,13.125,432
U04B,1,target_point_h1,Static_ES,ok,6168,8.533,9.996,94.506,123.0,58.048,-0.0644,0.9868,9.963,17.397,17.599,432
U04B,1,target_point_h1,ARX_ES,ok,6168,0.724,1.537,8.022,88.806,11.956,0.9748,0.0291,1.536,0.908,2.31,432
U04B,1,target_point_h1,ARMAX_ES,ok,6168,0.7,1.554,7.758,87.49,11.879,0.9743,0.0089,1.552,1.006,2.344,432
U05,1,target_point_h1,Persistence_1h,ok,6168,7.45,14.426,11.578,20.034,17.627,0.9416,0.1951,14.426,16.475,25.516,989
U05,1,target_point_h1,Persistence_week,ok,6168,31.486,47.158,48.931,74.447,93.879,0.3764,0.9538,47.156,60.947,77.611,989
U05,1,target_point_h1,Static_ES,ok,6168,31.688,46.223,49.246,77.115,99.953,0.4009,0.944,43.817,89.915,97.578,989
U05,1,target_point_h1,ARX_ES,ok,6168,7.483,13.826,11.629,41.571,19.268,0.9464,-0.0873,13.798,15.892,24.837,989
U05,1,target_point_h1,ARMAX_ES,ok,6168,7.572,14.511,11.768,38.03,18.118,0.941,0.1572,14.511,16.615,25.603,989
U05B,1,target_point_h1,Persistence_1h,ok,6168,0.729,1.467,8.951,14.647,14.251,0.9643,-0.0906,1.467,1.255,2.5,531
U05B,1,target_point_h1,Persistence_week,ok,6168,4.292,6.411,52.735,75.967,64.672,0.3171,0.9601,6.41,10.157,12.322,531
U05B,1,target_point_h1,Static_ES,ok,6168,3.383,4.624,41.559,73.154,46.733,0.6448,0.9438,4.561,7.761,9.361,531
U05B,1,target_point_h1,ARX_ES,ok,6168,0.858,1.488,10.541,54.522,15.654,0.9632,-0.2407,1.487,1.317,2.452,531
U05B,1,target_point_h1,ARMAX_ES,ok,6168,0.817,1.495,10.032,51.859,15.151,0.9629,-0.1431,1.485,1.403,2.562,531
U06,1,target_point_h1,Persistence_1h,ok,6168,4.37,7.696,5.55,9.161,8.771,0.9803,0.1874,7.695,7.845,13.675,527
U06,1,target_point_h1,Persistence_week,ok,6168,33.198,47.243,42.161,61.953,79.79,0.2594,0.9802,47.22,75.767,87.941,527
U06,1,target_point_h1,Static_ES,ok,6168,20.975,30.601,26.638,42.043,96.582,0.6893,0.961,30.363,41.985,52.521,527
U06,1,target_point_h1,ARX_ES,ok,6168,4.617,7.482,5.864,21.278,13.002,0.9814,-0.1365,7.471,7.396,12.703,527
U06,1,target_point_h1,ARMAX_ES,ok,6168,4.448,7.753,5.649,18.128,9.537,0.9801,0.1742,7.752,7.751,13.553,527
U06A,1,target_point_h1,Persistence_1h,ok,6168,1.421,2.95,11.691,20.501,18.938,0.9476,0.3524,2.95,3.912,5.914,317
U06A,1,target_point_h1,Persistence_week,ok,6168,5.318,7.987,43.755,73.297,60.282,0.6155,0.9312,7.985,10.921,13.452,317
U06A,1,target_point_h1,Static_ES,ok,6168,8.766,10.272,72.131,94.766,133.245,0.364,0.9369,8.794,15.602,16.394,317
U06A,1,target_point_h1,ARX_ES,ok,6168,1.511,2.765,12.432,55.021,20.128,0.9539,0.218,2.75,3.599,5.392,317
U06A,1,target_point_h1,ARMAX_ES,ok,6168,1.446,2.869,11.898,51.837,19.44,0.9504,0.2788,2.869,3.743,5.636,317
GEO,3,target_point_h3,Persistence_1h,ok,6174,3.314,14.8,13.161,32.427,37.169,0.9739,0.7359,14.8,8.007,28.973,1283
GEO,3,target_point_h3,Persistence_week,ok,6174,33.88,126.63,134.557,63.493,237.089,-0.9122,0.9956,126.63,103.651,224.215,1283
GEO,3,target_point_h3,Static_ES,ok,6174,20.784,92.44,82.546,72.934,57.913,-0.019,0.9964,90.963,88.646,202.673,1283
GEO,3,target_point_h3,ARX_ES,ok,6174,8.04,30.442,31.929,53.299,37.505,0.8895,0.9348,30.029,30.746,65.98,1283
GEO,3,target_point_h3,ARMAX_ES,ok,6174,2.046,8.143,8.125,42.158,20.072,0.9921,0.2285,8.108,5.723,17.224,1283
ICO,3,target_point_h3,Persistence_1h,ok,6174,5.438,8.712,13.771,26.033,22.067,0.9241,0.7501,8.712,7.079,9.987,748
ICO,3,target_point_h3,Persistence_week,ok,6174,12.844,19.856,32.527,40.764,42.358,0.6057,0.9782,19.851,30.214,37.296,748
ICO,3,target_point_h3,Static_ES,ok,6174,14.563,16.856,36.881,55.8,66.722,0.7159,0.9601,16.48,24.145,26.065,748
ICO,3,target_point_h3,ARX_ES,ok,6174,5.624,8.314,14.243,36.701,24.027,0.9309,0.764,8.277,7.245,9.915,748
ICO,3,target_point_h3,ARMAX_ES,ok,6174,2.538,4.38,6.427,29.438,10.917,0.9808,0.2115,4.377,3.136,5.782,748
LIB,3,target_point_h3,Persistence_1h,ok,6174,12.716,20.349,16.193,37.351,38.669,0.8843,0.7333,20.349,22.659,33.606,925
LIB,3,target_point_h3,Persistence_week,ok,6174,33.124,46.818,42.179,64.606,96.219,0.3878,0.9683,46.816,58.88,72.026,925
LIB,3,target_point_h3,Static_ES,ok,6174,25.555,32.64,32.541,59.526,142.674,0.7024,0.9472,32.164,52.073,60.425,925
LIB,3,target_point_h3,ARX_ES,ok,6174,12.39,18.669,15.778,42.745,49.165,0.9027,0.7006,18.652,22.516,32.721,925
LIB,3,target_point_h3,ARMAX_ES,ok,6174,6.054,10.441,7.709,33.103,19.211,0.9696,0.1368,10.424,9.402,16.05,925
SOC,3,target_point_h3,Persistence_1h,ok,6174,34.382,57.355,23.06,32.315,33.874,0.779,0.8201,57.352,57.96,88.618,991
SOC,3,target_point_h3,Persistence_week,ok,6174,66.478,95.681,44.587,62.703,78.884,0.385,0.967,95.639,126.502,157.219,991
SOC,3,target_point_h3,Static_ES,ok,6174,63.378,81.904,42.508,63.031,91.939,0.5493,0.9473,80.253,148.474,159.533,991
SOC,3,target_point_h3,ARX_ES,ok,6174,31.756,48.625,21.299,42.829,37.307,0.8412,0.589,48.485,59.789,81.396,991
SOC,3,target_point_h3,ARMAX_ES,ok,6174,13.775,25.486,9.239,29.554,15.667,0.9564,0.3771,25.486,20.417,37.352,991
STU,3,target_point_h3,Persistence_1h,ok,84,15.46,31.098,15.564,14.72,15.18,0.5588,0.7348,30.715,17.872,33.999,43
STU,3,target_point_h3,Persistence_week,ok,84,66.464,81.265,66.91,88.317,58.838,-2.0127,0.943,46.759,102.477,109.052,43
STU,3,target_point_h3,Static_ES,ok,84,39.778,42.894,40.045,39.955,47.559,0.1607,0.9267,41.847,38.761,44.399,43
STU,3,target_point_h3,ARX_ES,ok,84,19.89,28.587,20.024,20.132,21.869,0.6272,0.7098,28.56,21.385,31.136,43
STU,3,target_point_h3,ARMAX_ES,ok,84,6.644,16.264,6.688,8.022,7.069,0.8793,0.2239,16.14,7.098,16.903,43
U01,3,target_point_h3,Persistence_1h,ok,6174,11.682,18.943,10.368,18.427,27.393,0.9447,0.6238,18.943,13.045,18.218,668
U01,3,target_point_h3,Persistence_week,ok,6174,41.887,57.311,37.175,62.827,227.902,0.4938,0.969,57.309,71.231,84.39,668
U01,3,target_point_h3,Static_ES,ok,6174,26.189,37.54,23.243,51.095,380.841,0.7828,0.9441,36.884,30.36,35.134,668
U01,3,target_point_h3,ARX_ES,ok,6174,12.397,17.749,11.002,44.39,78.766,0.9514,0.6604,17.674,12.879,17.355,668
U01,3,target_point_h3,ARMAX_ES,ok,6174,6.785,11.698,6.022,34.289,16.146,0.9789,-0.1319,11.698,8.006,13.447,668
U01U02,3,target_point_h3,Persistence_1h,ok,223,36.561,56.544,9.465,9.593,9.719,0.6791,0.8012,56.538,38.459,60.194,145
U01U02,3,target_point_h3,Persistence_week,ok,223,171.588,191.005,44.423,51.84,43.04,-2.6619,0.9867,144.568,202.09,218.661,145
U01U02,3,target_point_h3,Static_ES,ok,223,78.553,90.397,20.337,20.819,20.56,0.1798,0.9527,90.258,85.916,97.403,145
U01U02,3,target_point_h3,ARX_ES,ok,223,34.598,50.722,8.957,9.116,9.13,0.7418,0.7576,50.716,36.558,54.679,145
U01U02,3,target_point_h3,ARMAX_ES,ok,223,18.351,30.634,4.751,5.403,5.061,0.9058,0.3147,30.611,18.338,27.714,145
U02,3,target_point_h3,Persistence_1h,ok,6166,4.356,9.337,36.747,39.713,71.972,0.5611,0.7583,9.337,14.335,22.885,292
U02,3,target_point_h3,Persistence_week,ok,6166,6.948,11.682,58.617,73.574,113.159,0.3129,0.9216,11.677,24.07,28.265,292
U02,3,target_point_h3,Static_ES,ok,6166,9.897,12.94,83.488,98.025,165.906,0.157,0.9377,12.823,33.499,34.932,292
U02,3,target_point_h3,ARX_ES,ok,6166,5.014,8.432,42.299,73.847,82.871,0.642,0.6688,8.417,15.963,21.75,292
U02,3,target_point_h3,ARMAX_ES,ok,6166,2.133,4.242,17.993,52.061,31.278,0.9094,-0.0306,4.218,5.168,9.217,292
U02B,3,target_point_h3,Persistence_1h,ok,6166,3.493,5.678,26.304,35.816,38.607,0.7158,0.6784,5.678,5.214,7.088,1145
U02B,3,target_point_h3,Persistence_week,ok,6166,5.65,8.074,42.549,68.724,55.413,0.4254,0.9097,8.074,8.239,10.755,1145
U02B,3,target_point_h3,Static_ES,ok,6166,5.843,7.669,44.001,67.791,54.354,0.4816,0.9059,7.547,12.004,13.359,1145
U02B,3,target_point_h3,ARX_ES,ok,6166,3.749,5.245,28.234,56.119,38.019,0.7575,0.6981,5.224,6.501,7.99,1145
U02B,3,target_point_h3,ARMAX_ES,ok,6166,1.903,3.234,14.331,43.511,22.506,0.9078,-0.0097,3.221,2.51,3.941,1145
U03,3,target_point_h3,Persistence_1h,ok,6166,8.193,13.303,12.258,22.297,25.046,0.9376,0.7074,13.302,9.792,14.915,942
U03,3,target_point_h3,Persistence_week,ok,6166,24.026,33.288,35.948,67.214,83.914,0.609,0.966,33.285,32.155,41.523,942
U03,3,target_point_h3,Static_ES,ok,6166,22.477,29.557,33.63,62.784,131.477,0.6917,0.9644,29.424,35.586,41.528,942
U03,3,target_point_h3,ARX_ES,ok,6166,9.716,13.021,14.537,50.266,43.471,0.9402,0.7413,12.978,12.661,16.76,942
U03,3,target_point_h3,ARMAX_ES,ok,6166,4.149,7.485,6.208,37.024,12.185,0.9802,-0.0044,7.485,4.697,7.824,942
U03B,3,target_point_h3,Persistence_1h,ok,6166,3.278,6.379,15.458,23.901,21.98,0.8523,0.6767,6.379,8.635,13.573,313
U03B,3,target_point_h3,Persistence_week,ok,6166,9.135,13.415,43.077,66.897,56.942,0.3468,0.9531,13.412,24.682,29.579,313
U03B,3,target_point_h3,Static_ES,ok,6166,8.549,11.192,40.316,66.138,52.621,0.5454,0.9408,10.933,22.1,23.442,313
U03B,3,target_point_h3,ARX_ES,ok,6166,3.734,6.046,17.607,52.28,23.136,0.8673,0.6166,6.017,9.159,13.388,313
U03B,3,target_point_h3,ARMAX_ES,ok,6166,1.787,3.68,8.429,42.296,12.515,0.9509,-0.1713,3.672,3.579,6.856,313
U04,3,target_point_h3,Persistence_1h,ok,6166,9.351,17.15,6.141,14.365,12.337,0.9813,0.7558,17.144,25.901,34.853,195
U04,3,target_point_h3,Persistence_week,ok,6166,61.197,97.782,40.194,58.425,78.329,0.3923,0.9923,97.65,268.027,289.226,195
U04,3,target_point_h3,Static_ES,ok,6166,85.885,98.732,56.409,61.932,218.059,0.3804,0.986,68.749,191.135,194.264,195
U04,3,target_point_h3,ARX_ES,ok,6166,13.685,18.428,8.988,32.818,34.582,0.9784,0.7185,16.346,27.326,36.986,195
U04,3,target_point_h3,ARMAX_ES,ok,6166,4.579,10.195,3.007,24.852,9.44,0.9934,0.0232,10.118,13.217,37.731,195
U04B,3,target_point_h3,Persistence_1h,ok,6166,1.278,2.648,14.126,15.256,21.328,0.9251,0.6692,2.648,1.636,3.628,432
U04B,3,target_point_h3,Persistence_week,ok,6166,5.062,8.11,55.927,62.928,71.17,0.298,0.9712,8.093,9.842,13.125,432
U04B,3,target_point_h3,Static_ES,ok,6166,8.512,9.951,94.051,121.77,57.517,-0.0569,0.9873,9.924,17.289,17.475,432
U04B,3,target_point_h3,ARX_ES,ok,6166,1.432,2.566,15.825,94.543,21.842,0.9297,0.6798,2.565,1.689,3.608,432
U04B,3,target_point_h3,ARMAX_ES,ok,6166,0.713,1.544,7.882,87.598,12.249,0.9746,-0.0027,1.541,0.999,2.338,432
U05,3,target_point_h3,Persistence_1h,ok,6166,16.667,29.731,25.883,36.012,38.833,0.7518,0.7669,29.73,39.213,54.114,989
U05,3,target_point_h3,Persistence_week,ok,6166,31.546,47.212,48.987,74.747,93.754,0.3741,0.9537,47.209,60.947,77.611,989
U05,3,target_point_h3,Static_ES,ok,6166,31.314,45.681,48.628,75.721,100.963,0.4141,0.9449,43.361,89.023,96.519,989
U05,3,target_point_h3,ARX_ES,ok,6166,15.816,26.711,24.561,55.317,44.156,0.7997,0.6621,26.5,37.768,52.219,989
U05,3,target_point_h3,ARMAX_ES,ok,6166,7.585,14.449,11.779,40.334,18.571,0.9414,0.1632,14.394,16.364,25.81,989
U05B,3,target_point_h3,Persistence_1h,ok,6166,1.274,2.394,15.646,22.858,23.018,0.9047,0.6171,2.394,2.557,4.773,531
U05B,3,target_point_h3,Persistence_week,ok,6166,4.29,6.408,52.696,76.255,65.264,0.3172,0.9602,6.406,10.157,12.322,531
U05B,3,target_point_h3,Static_ES,ok,6166,3.342,4.565,41.049,72.643,45.995,0.6534,0.9446,4.496,7.628,9.205,531
U05B,3,target_point_h3,ARX_ES,ok,6166,1.539,2.359,18.903,61.597,23.68,0.9074,0.5483,2.348,2.888,4.833,531
U05B,3,target_point_h3,ARMAX_ES,ok,6166,0.85,1.526,10.447,52.747,15.749,0.9613,-0.1999,1.504,1.521,2.6,531
U06,3,target_point_h3,Persistence_1h,ok,6166,9.468,15.26,11.992,16.78,18.046,0.9221,0.7521,15.256,19.355,28.889,527
U06,3,target_point_h3,Persistence_week,ok,6166,33.239,47.254,42.098,60.868,79.76,0.2532,0.9806,47.228,75.767,87.941,527
U06,3,target_point_h3,Static_ES,ok,6166,20.571,30.15,26.054,40.673,99.02,0.696,0.963,29.833,41.826,51.879,527
U06,3,target_point_h3,ARX_ES,ok,6166,10.016,14.307,12.685,30.087,35.437,0.9315,0.6526,14.229,18.809,26.469,527
U06,3,target_point_h3,ARMAX_ES,ok,6166,4.456,7.66,5.644,18.63,10.304,0.9804,0.1633,7.656,7.658,13.498,527
U06A,3,target_point_h3,Persistence_1h,ok,6166,3.109,6.209,25.549,33.175,38.877,0.7675,0.7628,6.209,10.542,13.936,317
U06A,3,target_point_h3,Persistence_week,ok,6166,5.321,7.978,43.731,73.965,60.307,0.6161,0.9313,7.977,10.921,13.452,317
U06A,3,target_point_h3,Static_ES,ok,6166,8.758,10.208,71.981,94.526,133.695,0.3715,0.9361,8.663,15.284,15.994,317
U06A,3,target_point_h3,ARX_ES,ok,6166,3.365,5.824,27.656,66.299,42.695,0.7954,0.7301,5.749,10.008,13.21,317
U06A,3,target_point_h3,ARMAX_ES,ok,6166,1.468,2.892,12.062,53.354,19.54,0.9496,0.2819,2.89,3.778,5.69,317
GEO,4,target_point_h4,Persistence_1h,ok,6174,4.196,17.486,16.654,39.444,49.475,0.9635,0.7986,17.486,9.879,31.327,1283
GEO,4,target_point_h4,Persistence_week,ok,6174,33.909,126.631,134.591,64.37,236.839,-0.9124,0.9956,126.631,103.651,224.215,1283
GEO,4,target_point_h4,Static_ES,ok,6174,20.782,92.428,82.49,72.205,58.132,-0.0188,0.9964,90.953,88.613,202.647,1283
GEO,4,target_point_h4,ARX_ES,ok,6174,10.483,40.369,41.609,57.541,45.956,0.8056,0.9635,39.791,40.796,87.497,1283
GEO,4,target_point_h4,ARMAX_ES,ok,6174,2.03,8.131,8.059,41.07,20.026,0.9921,0.2267,8.096,5.681,17.194,1283
ICO,4,target_point_h4,Persistence_1h,ok,6174,6.643,10.244,16.807,30.276,26.353,0.8947,0.8143,10.244,8.687,11.913,747
ICO,4,target_point_h4,Persistence_week,ok,6174,12.858,19.855,32.532,40.86,41.951,0.6044,0.9783,19.85,30.23,37.315,747
ICO,4,target_point_h4,Static_ES,ok,6174,14.497,16.751,36.678,55.15,65.584,0.7184,0.9606,16.357,24.042,25.907,747
ICO,4,target_point_h4,ARX_ES,ok,6174,6.729,9.592,17.025,39.203,28.186,0.9077,0.8258,9.539,8.806,11.729,747
ICO,4,target_point_h4,ARMAX_ES,ok,6174,2.558,4.39,6.471,29.03,11.049,0.9807,0.2055,4.388,3.105,5.781,747
LIB,4,target_point_h4,Persistence_1h,ok,6174,15.373,23.934,19.574,41.651,46.157,0.8399,0.7983,23.934,27.959,39.668,924
LIB,4,target_point_h4,Persistence_week,ok,6174,33.151,46.865,42.21,64.464,97.938,0.3862,0.9681,46.864,58.904,72.055,924
LIB,4,target_point_h4,Static_ES,ok,6174,25.556,32.647,32.539,59.263,142.438,0.7021,0.9455,32.181,52.001,60.328,924
LIB,4,target_point_h4,ARX_ES,ok,6174,14.756,21.571,18.789,46.123,60.367,0.87,0.774,21.544,27.681,38.361,924
LIB,4,target_point_h4,ARMAX_ES,ok,6174,6.094,10.51,7.759,32.899,19.606,0.9691,0.1542,10.51,9.433,16.113,924
SOC,4,target_point_h4,Persistence_1h,ok,6174,43.338,70.049,29.047,38.42,42.389,0.6698,0.8669,70.046,74.281,108.319,991
SOC,4,target_point_h4,Persistence_week,ok,6174,66.566,95.757,44.616,63.051,79.644,0.383,0.9669,95.715,126.502,157.219,991
SOC,4,target_point_h4,Static_ES,ok,6174,63.0,81.521,42.226,62.344,93.729,0.5528,0.947,79.887,147.908,159.041,991
SOC,4,target_point_h4,ARX_ES,ok,6174,39.521,58.385,26.489,47.416,48.16,0.7706,0.7105,58.156,77.792,100.647,991
SOC,4,target_point_h4,ARMAX_ES,ok,6174,16298.853,20624.879,10924.233,194.62,25234.107,-28625.1108,0.9506,17361.024,27940.841,31089.419,991
STU,4,target_point_h4,Persistence_1h,ok,83,19.667,36.549,19.664,18.512,19.12,0.3872,0.8149,35.946,22.826,39.928,43
STU,4,target_point_h4,Persistence_week,ok,83,67.169,81.748,67.161,89.134,59.323,-2.0658,0.9419,46.595,102.477,109.052,43
STU,4,target_point_h4,Static_ES,ok,83,39.352,42.473,39.347,39.29,46.375,0.1724,0.9233,41.555,38.739,44.273,43
STU,4,target_point_h4,ARX_ES,ok,83,24.663,32.805,24.66,24.672,27.151,0.5063,0.7951,32.767,25.59,35.725,43
STU,4,target_point_h4,ARMAX_ES,ok,83,6.762,16.322,6.761,8.004,7.158,0.8778,0.2281,16.2,7.153,16.915,43
U01,4,target_point_h4,Persistence_1h,ok,6174,13.832,21.818,12.278,21.693,32.587,0.9266,0.7038,21.818,15.487,21.544,667
U01,4,target_point_h4,Persistence_week,ok,6174,41.934,57.338,37.223,62.997,227.551,0.493,0.9692,57.336,71.253,84.425,667
