building,mode,seed,target_name,target_family,horizon_hours,n_dynamic_features,n_train_seq,n_fit_val_seq,n_test_seq,status,rmse,mae,r2,wape_pct,mape_pct,baseline_wape_pct,baseline_mape_pct,delta_wape_vs_baseline,delta_mape_vs_baseline,epochs_ran,datetime_test_start,datetime_test_end
U05,M0,42,target_point_h1,point,1,8,15364,1536,8206,ok,11.365375177691561,6.213260650634766,0.9624032378196716,13.212776184082031,13218236.0,11.661151716361198,4352722.979432749,1.551624467720833,8865513.020567251,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U05,M0,52,target_point_h1,point,1,8,15364,1536,8206,ok,12.035419960191005,6.582153797149658,0.9578395485877991,13.997243881225586,11872108.0,11.661151716361198,4352722.979432749,2.3360921648643878,7519385.020567251,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U05,M0,62,target_point_h1,point,1,8,15364,1536,8206,ok,11.469256896580774,6.185554027557373,0.9617127776145935,13.153857231140137,11611840.0,11.661151716361198,4352722.979432749,1.4927055147789385,7259117.020567251,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U05,M1,42,target_point_h1,point,1,9,15364,1536,8206,ok,12.256315510685132,6.890789031982422,0.9562777280807495,14.653571128845215,17281350.0,11.661151716361198,4352722.979432749,2.9924194124840167,12928627.020567251,28,2024-01-02 02:00:00,2024-12-30 18:00:00
U05,M1,52,target_point_h1,point,1,9,15364,1536,8206,ok,12.47472542439562,6.9209980964660645,0.954705536365509,14.717812538146973,12619398.0,11.661151716361198,4352722.979432749,3.0566608217857745,8266675.020567251,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U05,M1,62,target_point_h1,point,1,9,15364,1536,8206,ok,12.039824841007798,6.692530632019043,0.9578086733818054,14.231966018676758,13531862.0,11.661151716361198,4352722.979432749,2.5708143023155596,9179139.020567251,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U05,M2,42,target_point_h1,point,1,14,15364,1536,8206,ok,11.540820443063112,6.336080074310303,0.9612334966659546,13.473958015441895,13495588.0,11.661151716361198,4352722.979432749,1.8128062990806963,9142865.020567251,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U05,M2,52,target_point_h1,point,1,14,15364,1536,8206,ok,12.224986794431453,6.636435031890869,0.9565009474754333,14.112675666809082,9868154.0,11.661151716361198,4352722.979432749,2.451523950447884,5515431.020567251,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U05,M2,62,target_point_h1,point,1,14,15364,1536,8206,ok,11.547209325758784,6.046778678894043,0.9611905813217163,12.858745574951172,10314012.0,11.661151716361198,4352722.979432749,1.1975938585899737,5961289.020567251,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U05,M3,42,target_point_h1,point,1,15,15364,1536,8206,ok,11.60228388434828,6.522124767303467,0.9608194828033447,13.869589805603027,11336651.0,11.661151716361198,4352722.979432749,2.208438089241829,6983928.020567251,35,2024-01-02 02:00:00,2024-12-30 18:00:00
